request_id,request_type,status,total_ms,estimate_ms,json_ms
e4a6c506,node_metrics,200 OK,120.893,57.062,0.883
42b5a08d,node_metrics,200 OK,112.377,52.841,1.158
5e8c4808,node_metrics,200 OK,161.037,76.925,1.635
3a767315,node_metrics,200 OK,205.439,98.153,1.624
438bdbd9,node_metrics,200 OK,108.491,50.699,1.134
d0771a20,node_metrics,200 OK,163.856,77.667,1.713
1237a8c6,node_metrics,200 OK,160.206,76.329,1.669
e5e1ffe5,node_metrics,200 OK,202.183,97.723,1.575
a4981ade,node_metrics,200 OK,204.480,97.567,1.581
9cf3edbd,node_metrics,200 OK,202.245,97.673,1.565
bc0b0146,node_metrics,200 OK,163.185,77.156,1.694
6eddb248,node_metrics,200 OK,203.958,97.449,1.580
88ca0a1a,node_metrics,200 OK,92.155,42.856,0.972
064a4522,node_metrics,200 OK,262.217,125.596,2.500
8489aeff,node_metrics,200 OK,205.050,98.363,1.611
d6869bd3,node_metrics,200 OK,209.182,99.600,2.436
5d014736,node_metrics,200 OK,162.395,76.926,1.696
e2647a63,node_metrics,200 OK,266.168,128.132,2.386
54571658,node_metrics,200 OK,161.530,77.282,1.664
980d58a9,node_metrics,200 OK,259.573,125.713,2.412
cb1a7860,node_metrics,200 OK,200.422,96.728,1.598
1b3ebc61,node_metrics,200 OK,260.255,125.392,2.422
e1b958d4,node_metrics,200 OK,110.490,51.703,1.693
d8d99c50,node_metrics,200 OK,261.116,125.744,2.388
39648dc3,node_metrics,200 OK,162.702,76.817,1.683
ae1e1f73,node_metrics,200 OK,206.071,97.518,2.379
f9460cec,node_metrics,200 OK,163.038,77.817,1.773
e0507770,node_metrics,200 OK,205.964,98.343,2.458
dbd49c0b,node_metrics,200 OK,205.519,98.862,1.583
603b504e,node_metrics,200 OK,262.122,126.191,2.387
038cfa74,node_metrics,200 OK,204.144,97.931,1.597
709188b9,node_metrics,200 OK,243.655,117.121,2.016
fe9ec98b,node_metrics,200 OK,186.789,89.016,1.610
86eba228,node_metrics,200 OK,198.625,94.368,2.385
6007048e,node_metrics,200 OK,197.239,95.178,1.558
3968eb41,node_metrics,200 OK,156.018,74.133,1.582
7feec4ee,node_metrics,200 OK,164.792,78.636,1.740
dc5fa249,node_metrics,200 OK,264.133,126.594,2.388
4516e00f,node_metrics,200 OK,160.959,76.764,1.747
970c3552,node_metrics,200 OK,205.414,97.703,2.497
508e5097,node_metrics,200 OK,190.068,91.905,1.599
8fc82925,node_metrics,200 OK,205.430,97.720,2.482
7989e150,node_metrics,200 OK,201.883,97.287,1.599
bd6d46a9,node_metrics,200 OK,263.520,125.895,3.211
a8eabe12,node_metrics,200 OK,200.729,96.822,1.627
0df119e6,node_metrics,200 OK,180.133,86.179,1.908
9dfdd1fb,node_metrics,200 OK,120.641,57.162,0.866
